ACCx,ACCy,ACCz,GYROx,GYROy,GYROz,Magx,Magy,Magz,时间[yyyy-mm-dd|hh:mm:ss.ss]
加速度分辨率: 16384LBS/g,陀螺仪分辨率: 32.8LBS/dps
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.123
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.124
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.130
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.136
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.158
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.158
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.159
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.159
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.189
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.190
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.190
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.190
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.190
0,0,0,-8,0,0,0,0,0,2016/8/6|23:03:06.194
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.202
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.215
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.228
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.246
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.258
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.275
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.292
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.311
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.314
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.349
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.349
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.378
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.395
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.407
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.422
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.449
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.455
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.470
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.476
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.488
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.506
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.532
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.533
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.546
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.560
0,0,0,0,0,0,0,0,0,2016/8/6|23:03:06.574
